Futbolcu,Gol
Miroslav Klose,5
Lucas Podolski,4
David Villa,3
Maxi Rodriguez,3
Thierry Henry,3
Zinedine Zidane,3
Hernan Crespo,3
Fernando Torres,3
Ronaldo,3
Adriano ,2
