Futbolcu,Gol
David Villa,5
Wesley Sneijder,5
Diego Forlan ,5
Thomas Müller,5
Miroslav Klose,4
Robert Vittek,4
G.Higuain,4
Asamoah Gyan,3
Landon Donovan,3
Luis Suares,3
