Futbolcu,Gol
James Rodriguez,6
Thomas Müller,5
Neymar,4
R.Van Persie,4
Lionel Messi,4
Andre Schürrle,3
Enner Valencia,3
Shakiri,3
Arjen Robben,3
Tim Cahill,2
